 | Qmax: -1.3746
| Reward: -5 | Episode: 11081 | Qmax: -1.3724
| Reward: -5 | Episode: 11082 | Qmax: -1.3750
| Reward: -5 | Episode: 11083 | Qmax: -1.3770
| Reward: -5 | Episode: 11084 | Qmax: -1.3733
| Reward: -5 | Episode: 11085 | Qmax: -1.3824
| Reward: -5 | Episode: 11086 | Qmax: -1.3749
| Reward: -5 | Episode: 11087 | Qmax: -1.3761
| Reward: -5 | Episode: 11088 | Qmax: -1.3770
| Reward: -5 | Episode: 11089 | Qmax: -1.3740
| Reward: -5 | Episode: 11090 | Qmax: -1.3718
| Reward: -5 | Episode: 11091 | Qmax: -1.3751
| Reward: -5 | Episode: 11092 | Qmax: -1.3772
| Reward: -5 | Episode: 11093 | Qmax: -1.3758
| Reward: -5 | Episode: 11094 | Qmax: -1.3777
| Reward: -5 | Episode: 11095 | Qmax: -1.3753
| Reward: -5 | Episode: 11096 | Qmax: -1.3817
| Reward: -5 | Episode: 11097 | Qmax: -1.3793
| Reward: -5 | Episode: 11098 | Qmax: -1.3829
| Reward: -5 | Episode: 11099 | Qmax: -1.3752
| Reward: -5 | Episode: 11100 | Qmax: -1.3865
| Reward: -5 | Episode: 11101 | Qmax: -1.3724
| Reward: -5 | Episode: 11102 | Qmax: -1.3703
| Reward: -5 | Episode: 11103 | Qmax: -1.3782
| Reward: -5 | Episode: 11104 | Qmax: -1.3762
| Reward: -5 | Episode: 11105 | Qmax: -1.3727
| Reward: -5 | Episode: 11106 | Qmax: -1.3718
| Reward: -5 | Episode: 11107 | Qmax: -1.3786
| Reward: -5 | Episode: 11108 | Qmax: -1.3761
| Reward: -5 | Episode: 11109 | Qmax: -1.3804
| Reward: -5 | Episode: 11110 | Qmax: -1.3806
| Reward: -5 | Episode: 11111 | Qmax: -1.3772
| Reward: -5 | Episode: 11112 | Qmax: -1.3757
| Reward: -5 | Episode: 11113 | Qmax: -1.3761
| Reward: -5 | Episode: 11114 | Qmax: -1.3787
| Reward: -5 | Episode: 11115 | Qmax: -1.3765
| Reward: -5 | Episode: 11116 | Qmax: -1.3761
| Reward: -5 | Episode: 11117 | Qmax: -1.3825
| Reward: -5 | Episode: 11118 | Qmax: -1.3761
